family,category,qualifying_signals,available_signals,eligible_sessions,r_per_100_sessions,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r,two_tick_expectancy_r,four_tick_expectancy_r,month_bootstrap_lo95,month_bootstrap_hi95,date_bootstrap_lo95,date_bootstrap_hi95,session_max_net_share,halfyear_max_net_share,net_2023,net_2024,net_2025,net_2023H1,net_2023H2,net_2024H1,net_2024H2,net_2025H1,net_2025H2,incremental_t_per_session,familywise_incremental_p,edge_t_per_session,familywise_edge_p,gate_sample,gate_effect,gate_return_dd,gate_years,gate_cost,gate_concentration,gate_familywise,decision,halfyears_expectancy_above_baseline,interaction_parent_eligible
F4_D1_VOLATILITY,high_67_100,182,448,1666,1.7949811552400914,175,0.17088220597885667,0.5217821782178218,1.3858525257658776,0.5428571428571428,9.75013211909634,29.904386046299923,3.067074956628538,193.32,1.4180458263317444,0.7152662938438973,0.15520857822584988,0.12386132271983624,0.03550798264965535,0.31117344370415334,-0.013983307741906297,0.3522194123367119,0.4768269146334912,0.33398921256427594,0.5443887302907027,15.415240453612736,13.94475686239647,0.0,0.5443887302907033,5.427498105790905,9.987742347821833,7.814887950298398,6.129868912098077,-0.5815366967939765,1.0,1.8490481105321515,0.08498300339932013,False,True,True,True,True,True,False,REJECT,5.0,False
F8_PRIOR_DAY_LOCATION,outside_prior_range,66,478,1666,0.8760722702976929,65,0.2245440618947626,0.5966417910447761,1.5973081747985938,0.6153846153846154,6.510122078164834,14.595364023159563,2.241949359461768,205.95384615384614,1.4093803432012488,0.6550790242539537,0.21036293806342496,0.18200069040074976,-0.02826644296296979,0.5134305586010091,-0.03142368635670247,0.4820871511705945,0.9812810536121414,0.42355615512195294,2.815608637120665,4.304473172990025,7.475282213048878,-3.3663476311340785,6.181956268254743,5.8969434684265,-1.592470295436475,2.0123404149926003,5.462941798056278,-1.088928783343336,1.0,1.6374362440975283,0.11857628474305139,False,True,False,True,True,False,False,REJECT,3.0,False
F4_D1_VOLATILITY,low_0_33,142,448,1666,1.1159509882940766,139,0.13375355010776482,-0.3097560975609756,1.2618995425290636,0.4748201438848921,8.367554325773295,18.591743464979317,2.2218850026122947,225.40287769784172,1.4579649741110068,0.7211267272249887,0.1149007790596141,0.07719523696331258,-0.09756514089299045,0.4034739715666474,-0.08529104942463661,0.358067234700543,0.8859120644768931,0.36609415773168014,2.9494614479147465,12.800742706888066,2.841539310176494,2.628269533036868,0.3211919148778799,6.806328664575071,5.994414042312995,1.287551699453563,1.5539876107229316,-1.0770375169666724,1.0,1.1986068931926444,0.2991401719656069,False,True,False,True,True,False,False,REJECT,5.0,False
F9_PRIOR_WEEK_LOCATION,inside_week,210,478,1666,2.200625927808481,206,0.17797295124897713,-0.26467186321347747,1.3551447921900723,0.49514563106796117,17.22582262455251,36.662427957289296,2.1283411977685858,201.80582524271844,1.510594061959756,0.7462999080179008,0.16012427936262313,0.12442693558991509,-0.006791958283777926,0.36148202492129344,-0.009811285932628496,0.36356023626385037,0.46619457361433514,0.34665560682995755,15.25819005108671,18.87571234309924,2.5285255631033388,9.50604617296297,5.7521438781237375,6.16647613170552,12.709236211393721,-10.077014632412864,12.605540195516204,-0.3092261598537668,1.0,1.8945367937682445,0.07858428314337132,False,True,False,True,True,True,False,REJECT,4.0,False
F6_RANGE_VOLATILITY_FIT,normal,150,449,1666,1.2326234452846,148,0.13875342296244209,-0.1650245836637589,1.2823412730673824,0.49324324324324326,9.835156047010482,20.535506598441437,2.0879695757022034,197.94594594594594,1.444603049842171,0.755047282136395,0.12066406368181257,0.08448534512055343,-0.06412658487134495,0.34170076492616175,-0.07064029075616209,0.34369541270967097,0.8108040871384042,0.5795840121197757,2.6190172662512863,3.4559284528674437,14.460560879322703,1.6768652752131956,0.9421519910380903,1.0030502339645462,2.4528782189028973,2.558509574085887,11.902051305236816,-0.9887099978884871,1.0,1.3099917600605073,0.25154969006198763,False,True,False,True,True,False,False,REJECT,3.0,False
F5_HTF_TREND_STRENGTH,transition,226,472,1666,1.6712274666949019,218,0.12771857612448193,-0.8805782058557554,1.2482034671479072,0.48623853211009177,14.571027405222956,27.84264959513707,1.9108226771405923,203.3440366972477,1.438111099610825,0.749648304916186,0.11015853676286425,0.07503845803962891,-0.038308630406401686,0.3063470647325587,-0.04889711222967894,0.29748647377561765,0.6430185063760685,0.5282418923016463,2.4106640927258822,19.991526427032042,5.440459075379133,4.2559657983329515,-1.8453017056070695,14.70765390882687,5.28387251820517,-0.06864119983716166,5.509100275216296,-0.779081071745777,1.0,1.430549923234153,0.21175764847030593,False,True,False,True,True,False,False,REJECT,4.0,False
F5_HTF_TREND_STRENGTH,nontrend,35,472,1666,0.36215816036824033,34,0.17745749858043772,0.27805065490510555,1.3969732831462103,0.5,3.852528589671285,6.033554951734883,1.5661285338442337,213.05882352941177,1.6176128370278824,0.7456159171154904,0.15908872172160546,0.12235116800394082,-0.1842695097965902,0.6256215913988465,-0.23342720824454744,0.6158598624972467,1.0612178384263147,0.7850890845240635,-1.0624733298012607,7.349378133483169,-0.25334985194702564,-0.6290587814238873,-0.4334145483773736,4.736878133483169,2.6125,-2.223877483559548,1.9705276316125233,-1.3974159134931847,1.0,0.8334778371171184,0.4947010597880424,False,True,False,False,True,False,False,REJECT,0.0,False
F10_OVERNIGHT_GAP,mean_reversion_aligned,113,478,1666,0.7549143721817448,113,0.11129976496060068,-0.7584537090088083,1.2143864095592751,0.4690265486725664,10.232540803210206,12.57687344054787,1.2291056231705606,188.93805309734512,1.4153789509084045,0.7721089682754223,0.0981198070572775,0.07175989125063131,-0.13858968847970107,0.3469887301282882,-0.12784640576122447,0.3604461389651359,0.565099522850787,1.1316757768535757,3.322235892181827,13.732851038048173,-4.478213489682127,-3.1824810879060017,6.50471698008783,-0.5000919831729396,14.232943021221114,-1.8986913221926622,-2.579522167489465,-1.2634068277834336,1.0,0.8966355149873353,0.4355128974205159,False,True,False,True,True,False,False,REJECT,2.0,False
F11_VOLUME_CONTEXT,high,198,473,1666,0.5409836397229802,194,0.04645766720507653,-0.5478388418861075,1.091256136008387,0.4690721649484536,9.52380057658726,9.012787437784851,0.9463435700177666,216.89175257731958,1.3576575077346187,0.7671965650377773,0.033132091570263464,0.006480940300637237,-0.10533087816627244,0.18042785765831262,-0.12427444641142012,0.21803373377957916,0.6953040527002722,0.591797416065046,-0.427122585005389,8.465987855015754,0.9739221677744854,-4.824404633046858,4.39728204804147,3.1322435377911706,5.333744317224581,0.29409102202762183,0.679831145746864,-1.5628002496072917,1.0,0.5327458556955448,0.6460707858428314,False,False,False,True,True,False,False,REJECT,3.0,False
F7_VOLATILITY_TRANSITION,stable,204,473,1666,0.6376085365564362,196,0.05419672560729708,-0.7329449246453901,1.1053289757761435,0.4897959183673469,11.44254169641211,10.622558219030227,0.9283390439696632,189.57142857142858,1.3473916780945532,0.7340589162666472,0.034590829377498016,-0.004620963082100087,-0.08022139604792035,0.19298029724625318,-0.11855876095838995,0.23300070708197346,0.5797318465478531,0.8398892072493062,-0.25243747219092016,3.230280413344261,7.644715277876886,5.9623495182101856,-6.214786990401107,4.934214734021509,-1.703934320677249,8.921772001540898,-1.2770567236640107,-1.5111912633396338,1.0,0.6245407511117927,0.591881623675265,False,False,False,True,True,False,False,REJECT,2.0,False
F5_HTF_TREND_STRENGTH,strong_trend,211,472,1666,0.7369144516223941,207,0.059309153449415855,-0.07199312714776632,1.1236476581227317,0.4975845410628019,16.333275279541574,12.276994764029086,0.7516554122740325,205.06763285024155,1.3324707366602344,0.7179522130771931,0.04172081018402397,0.006544123653240189,-0.10443352689594564,0.2069967393590864,-0.11028951171177401,0.22765621718297485,0.5553034484774821,0.7124840410048592,11.431418806156044,0.8662296149554415,-0.020653657082404,8.74716284087094,2.684255965285105,-4.325487079570556,5.191716694525998,0.7883121713698509,-0.8089658284522548,-1.418806081913875,1.0,0.7305330510193048,0.5498900219956009,False,False,False,True,True,False,False,REJECT,3.0,False
F9_PRIOR_WEEK_LOCATION,near_directional_extreme_le_0_40ATR,78,478,1666,0.31924866517086525,78,0.06818824053521297,0.08386430312731433,1.150338604874553,0.5128205128205128,7.784784983962192,5.318682761746615,0.6832151141879818,215.57692307692307,1.3248402037525298,0.7268379548541092,0.0519085941923753,0.01934930150670006,-0.22123402839941086,0.4046433606050159,-0.19109102186146448,0.32927538929967093,0.596068924990717,2.0676530432873332,-2.1987292144108106,11.307271635066177,-3.7898596589087545,0.25231206118953353,-2.4510412756003443,10.997190598605266,0.31008103646091034,1.9954974770790253,-5.78535713598778,-1.4742083385748612,1.0,0.533044413900498,0.6530693861227754,False,False,False,False,True,False,False,REJECT,2.0,False
F7_VOLATILITY_TRANSITION,contracting,143,473,1666,0.6885819570869005,138,0.08312880728309965,-0.22369958950897753,1.1661972073866445,0.4855072463768116,18.34810897963208,11.471775405067763,0.6252293038918825,224.36231884057972,1.40197491766554,0.7249517877316701,0.06558859228244157,0.030508162281125357,-0.11505255234423557,0.30334371971401003,-0.11786231215258826,0.2861811982583001,0.7782124880440203,1.1093905454131112,5.480214714085693,17.47468517505167,-11.483124484069602,0.9644996939752292,4.515715020110461,4.748006001566829,12.72667917348484,-11.030667303546936,-0.45245718052266515,-1.3614977733984464,1.0,0.7833255900184246,0.5012997400519896,False,False,False,False,True,False,False,REJECT,3.0,False
F12_VWAP_AND_VALUE_LOCATION,extension_away_from_value,220,492,1666,0.41555850436269065,217,0.0319041690446195,0.05257731958762887,1.065209754897196,0.5023041474654378,14.550899734440073,6.923204682682426,0.47579220591398264,205.76036866359448,1.3544531200319847,0.7467291721582371,0.014721707988311367,-0.01964321412430502,-0.11517265348539894,0.18981273976900395,-0.1174081370896348,0.19141448495474284,0.8638936372753704,1.6924853732288059,0.06768812442400618,10.707752697168077,-6.460996822670335,-0.09469119589875152,0.1623793203227598,11.717422661309183,-1.009669964141103,-7.027951724308735,0.5669549016383992,-1.6673566235754544,1.0,0.41056242192002396,0.7018596280743852,False,False,False,False,True,False,False,REJECT,1.0,False
F12_VWAP_AND_VALUE_LOCATION,crossing_value,178,492,1666,0.4956754644822911,178,0.04639299572064588,-0.7809999041497941,1.0879716896015093,0.4438202247191011,21.06924030837971,8.25795323827497,0.39194356879543474,213.80898876404495,1.2496654665950095,0.7232957230841357,0.030961836614724045,9.95184028803596e-05,-0.16658854134343037,0.25334649192973685,-0.14241603835365202,0.24485761141908038,0.7674467951614002,1.6759794868054745,6.021203015606076,2.7935475886888197,2.528176786551768,6.286553014524981,-0.2653499989189021,-11.046612641658871,13.84016023034769,2.644968469597951,-0.11679168304618304,-1.603782957524645,1.0,0.4942253808366831,0.6610677864427115,False,False,False,True,True,False,False,REJECT,3.0,False
F1_D1_DIRECTION,neutral,120,492,1666,0.16096997055245274,118,0.02272677719833781,-1.0042517690241533,1.04220683168201,0.4576271186440678,7.794281227117095,2.6817597094038623,0.34406760947677234,195.3050847457627,1.3554196156057212,0.7527986110996409,0.005787023739179448,-0.028092483179137286,-0.13860876642140835,0.19234987598377942,-0.18021022041738763,0.25040249063391123,2.9310802105300944,1.1311476463218821,-2.0805892393287064,1.3596918304369423,3.280259475995528,1.2217354769741333,-3.3023247163028384,-0.7283739753439706,2.088065805780913,0.24679329270249495,3.0334661832930334,-1.6978102495146168,1.0,0.19771594015865016,0.8016396720655868,False,False,False,True,True,False,False,REJECT,2.0,False
F10_OVERNIGHT_GAP,small_gap_abs_lt_0_10ATR,256,478,1666,0.43052674997291346,252,0.028462601803764823,-1.0046791580871468,1.053490115878004,0.45634920634920634,24.78575963122678,7.172575654548739,0.2893829263764925,209.65873015873015,1.351426105218973,0.7358082660227472,0.007585840746335808,-0.03416768136852225,-0.1279364100741939,0.1939087730784864,-0.11709764418365111,0.1863860936717269,0.7701500658636907,1.7330051914923519,6.521003402812488,0.8736265951044282,-0.22205434336818253,12.430110845704618,-5.90910744289213,3.5291656167300998,-2.6555390216256707,-2.273477937549015,2.051423594180835,-1.8927207579125076,1.0,0.36392605329604155,0.7184563087382524,True,False,False,True,True,False,False,REJECT,1.0,False
